Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
15/09/2015,187.8649445,188.5150066,185.394746,186.7815269,11509788
16/09/2015,189.0675507,190.1076327,187.4749259,188.9700457,13424811
18/09/2015,194.0187836,194.9071767,190.0642992,190.3459802,34261453
21/09/2015,190.2701569,192.45866,189.825953,190.6818591,12732187
22/09/2015,183.7262878,191.7435955,182.9895691,190.6818456,15745524
23/09/2015,184.2571716,185.6547865,182.0144991,182.6645468,15221260
24/09/2015,181.4402924,183.7479683,180.8769157,183.7479683,29076982
28/09/2015,180.7685699,182.2095204,179.5659795,181.9711749,11624639
29/09/2015,182.177002,184.2354983,179.0025863,179.8476584,15853471
30/09/2015,186.8465424,187.3882512,181.6894674,184.398026,17292020
01/10/2015,187.3665771,189.3709041,186.044814,189.3709041,8663393
05/10/2015,192.415329,192.848699,186.7490466,186.9549049,16015412
06/10/2015,194.5930023,195.1238773,191.9277793,194.0729613,12330294
07/10/2015,198.0057678,198.9266772,193.065385,193.8671071,11515191
08/10/2015,192.6536713,198.244116,192.0361253,198.244116,10753149
09/10/2015,192.2744904,196.1964735,191.0068965,193.7262747,9327873
12/10/2015,193.22789,195.3622237,192.4153195,192.4153195,6212395
13/10/2015,193.6287689,194.2138133,191.3102446,191.7761162,6162561
14/10/2015,195.6547394,196.0989432,193.704582,194.1054502,8002587
15/10/2015,195.8172302,197.3990209,195.037176,196.68397,9048478
16/10/2015,198.2224426,198.2224426,195.8172475,195.9905897,15246935
19/10/2015,208.7749786,209.2083342,203.8995845,203.8995845,33505855
20/10/2015,207.3014984,209.4683336,206.4997619,209.0999669,18091895
21/10/2015,206.933136,211.2234708,206.4997661,207.0414749,14404450
23/10/2015,207.0739899,210.8442984,203.9320758,208.872473,12153422
26/10/2015,204.3004608,208.6666335,203.9645958,208.428288,10938775
27/10/2015,203.5853882,205.4705425,203.1195165,203.4228799,11601798
28/10/2015,203.0219879,204.7446338,201.4943665,203.011154,11958727
29/10/2015,203.8995819,204.7663219,202.5886381,202.8161642,13280382
30/10/2015,205.3513489,207.1281497,203.7045547,204.1379102,13366359
02/11/2015,207.9732056,208.3415722,204.8096241,205.6330139,7222044
03/11/2015,209.5766754,210.280907,208.287414,208.7207839,11373522
04/11/2015,206.131424,211.2668459,205.0263385,209.7500582,10033187
05/11/2015,202.9461517,206.0663979,202.1660974,205.633028,10767454
06/11/2015,206.3697662,206.8789734,203.2278522,203.5637027,8367190
09/11/2015,208.2874146,209.0999705,200.0967504,202.2744339,17031699
10/11/2015,199.9450989,207.9082379,198.547484,207.366529,11486238
13/11/2015,202.1769409,203.3686974,198.157453,198.2766258,13682323
16/11/2015,202.4477997,204.1162618,200.3784692,200.6493309,15346549
17/11/2015,201.0285034,203.4445326,200.6926529,203.2603565,8588142
18/11/2015,197.6157227,201.7977184,197.1715189,200.9959819,11249222
19/11/2015,202.5453033,203.4012094,198.7533414,199.1108741,12183206
20/11/2015,205.16716,206.456436,200.551794,202.3827788,11304265
23/11/2015,206.6622467,207.5614881,205.0262866,205.8496909,10499517
24/11/2015,209.6850281,210.5301002,206.0772424,206.4997784,14806176
26/11/2015,214.2245636,214.9396291,209.8042217,210.4001,23805828
27/11/2015,212.1444092,215.0588119,211.0718253,214.3004108,10891864
30/11/2015,209.5550079,213.3036484,208.5149259,212.0252064,29919205
01/12/2015,209.2950287,212.0902442,208.2874481,208.8833265,12981379
02/12/2015,211.9060516,212.2852522,208.9916491,209.3708496,7573628
03/12/2015,211.7435303,214.2895662,211.0718148,211.245157,11361395
04/12/2015,209.1974792,211.5268372,208.31992,210.6817651,13443688
07/12/2015,206.2939453,210.8334745,205.795572,209.1974996,14483909
08/12/2015,203.8779144,206.6297942,202.8378323,205.6113799,7532164
09/12/2015,198.4608154,204.4304613,197.7999338,202.8595041,9174419
